bug_commit_hash,ns,nd,entropy,lt,fix,age,ndev,nuc,commit,exp_of_files,exp_of_codes,exp,rexp,sexp,la,ld,lines_of_modified_code,nf,candidate_commit_to_fix,is_Friday,is_latest_bic,is_largest_mod,is_earliest_bic,label
ec7be61e48a73aa36fa3e4dada80f0162767c992,1,1,0.0,942.0,0,0.0449652777777777,3,106,f32e7ac046df3752303e885eaab14bc6b7f0074d,64,18157,245,246.0,175.0,10,13,23,1,27479,0,1,0,0,0
ec7be61e48a73aa36fa3e4dada80f0162767c992,1,1,0.0,904.0,0,0.8253587962962963,3,99,ec7be61e48a73aa36fa3e4dada80f0162767c992,64,17780,226,227.0,157.0,12,1,13,1,42975,0,0,0,0,1
ec7be61e48a73aa36fa3e4dada80f0162767c992,3,3,2.584962500721156,135.5,1,1.0427083333333331,1,47,10e4dd274b116114fac5a83ab34b7869ba5184a8,31,3815,77,78.0,54.0,485,209,694,6,11556,0,0,1,0,0
ec7be61e48a73aa36fa3e4dada80f0162767c992,1,1,0.0,464.0,0,0.871550925925926,1,31,e60175d60723a363f25aae1817eadbfff18bb219,24,2707,45,46.0,35.0,47,7,54,1,24138,0,0,0,1,0
ec7be61e48a73aa36fa3e4dada80f0162767c992,2,2,2.0,239.5,0,0.0015856481481481,1,55,87a9e15427f6b88a317e7f2c8a15e831d1787ef2,53,8741,88,89.0,62.0,110,44,154,4,28611,1,0,0,0,0
ec7be61e48a73aa36fa3e4dada80f0162767c992,2,2,1.0,342.5,0,0.0235300925925925,1,54,f54f320be919db1a813190ec7594d8a9656ce5c0,53,9166,91,92.0,67.0,40,8,48,2,77409,0,0,0,0,0
7339cc176cc7bbc671f4dec65b2f161d351ea270,1,1,0.0,2003.0,0,0.0572453703703703,5,50,7339cc176cc7bbc671f4dec65b2f161d351ea270,1887,504935,703,448.6666666666667,348.0,11,0,11,1,70079,0,1,1,1,1
f1b429faaf97f3bcf62f78f0ca179467f2ac0acc,15,46,9.78135971352459,0.0,0,0.0,0,0,05ae2c07f22f4011e4a0c70552fd36a3a9973448,0,0,0,1.0,0.0,122828,0,122828,880,71797,0,0,1,1,0
f1b429faaf97f3bcf62f78f0ca179467f2ac0acc,2,2,1.0,397.0,1,35.449814814814815,2,9,f1b429faaf97f3bcf62f78f0ca179467f2ac0acc,650,155999,184,80.33333333333333,119.0,25,1,26,2,20018,0,0,0,0,1
f10b7234e274ae324c400fd56d4efc0a333a5877,1,1,1.0,546.0,0,0.0899189814814814,7,31,b26a3e619221b00a57b7455d3f98d9be30321544,585,289023,1181,534.5,731.0,24,15,39,2,49222,0,0,0,0,0
f10b7234e274ae324c400fd56d4efc0a333a5877,1,1,0.0,599.0,0,0.0708101851851851,11,46,f10b7234e274ae324c400fd56d4efc0a333a5877,763,315821,1504,510.1666666666667,949.0,2,1,3,1,81589,0,1,0,0,1
f10b7234e274ae324c400fd56d4efc0a333a5877,1,1,1.0,485.0,0,0.0876273148148148,7,29,d09d23ba8e4c0dbd448827bfef6af07118314cff,575,286605,1149,502.5,705.0,123,2,125,2,53184,0,0,1,1,0
807e8e40673d9628fa7dcdd14423424b4ee5f43b,3,3,3.321928094887362,552.2,0,0.0073263888888888,281,630,5c4e6f1301649d5b29dd0f70e6da83e728ab5ca5,82,10236,109,69.16666666666667,105.0,304,14,318,10,15337,0,0,1,1,0
807e8e40673d9628fa7dcdd14423424b4ee5f43b,1,1,2.321928094887362,897.0,1,1.1574074074074072e-05,45,137,807e8e40673d9628fa7dcdd14423424b4ee5f43b,1,29,1,1.0,1.0,68,99,167,5,61399,0,1,0,0,1
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,4,3.169925001442312,577.7777777777778,0,0.1314236111111111,7,261,2b1c5358b77c88340639ae296dac01fdbf72295d,1608,170679,668,353.5,457.0,120,88,208,9,84477,0,0,0,1,0
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,9,3.8073549220576055,623.8571428571429,0,0.1396296296296296,25,969,1ef6f883e34a08dc916ad7dfabd7f892964aff54,1151,57347,147,148.0,140.0,456,26,482,14,25101,0,0,1,0,0
