project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor_1,004f3f4e5339bdb5bf8559a620343b919ba196c1,1,1,1,0,7796,2084.28,3508,14,0.929028,681,0,7,5,2826
tor_1,00509aaafab98db877ac9ed6724ea5ae96cfa8de,0,0,0,0,18270,4721.38,0,0,0,0,0,0,0,0
tor_1,0052f84204614b8d949eb94ea436f04b26142256,1,2,3,0.494245,250,166.796,250,5,0.205031,0,0,12,1,609.667
tor_1,00536254b765900127af04f278ed591d562434d9,0,0,0,0,17471,4604.15,0,0,0,0,0,0,0,0
tor_1,005500e14d5a956601feb94712ea86e810d557f7,1,1,1,0,7045,744.196,1710,10,2.09557,204,0,1,1,586
tor_1,005813a7b87abe42c70c853e40967c6c3e8d6c5f,1,1,1,0,870,577.378,859,2,0.0867014,0,1,3,2,444
tor_1,00581b58e939ebbaa977b524bedca69e79e6588c,1,1,1,0,3504,1520.87,356,2,0.00800926,25,0,1,0,18
tor_1,005a20ec859aa1c9e2f6d6bf5a1e70069f7f20f5,2,2,2,1,11781,2754.42,6968,3,76.0142,20,1,8,0,567.5
tor_1,005e228f80f0bd241d01c106f87e6bfe6dda6127,1,2,2,0.541048,451,292.052,427,10,1.33898,43,0,27,11,923
tor_1,0061d428900946ce8bf5c8bfb4c2b3b5faa4f691,0,0,0,0,8077,2136,0,0,0,0,0,0,0,0
tor_1,00633b944672458bdfd3d79bab4e1230cee4a522,1,1,1,0,7760,2072.21,3476,7,2.68196,421,0,61,32,1840
tor_1,00633bc619046e09536d742e5f862d75c35e476f,1,2,3,0.256334,253,85.8382,201,3,3.65671,15,0,48,0,416.667
tor_1,00650fe56d1bd6e4a3d5f956e964c4f8e3446982,1,1,1,0,1311,820.964,61,3,0.871748,11,0,1,1,1589
tor_1,006530f037d5fdd37301a6e4233ae83c8c86d76e,1,1,1,0,4243,1724.41,1566,4,12.8211,454,0,1,1,1965
tor_1,0066174afa882043a015f75c07b961be6d51b36e,3,3,3,1,4179,1602.71,413,7,3.56598,134.667,0,3,3,438
tor_1,00681eabdb16e4e1bb38d4ecdcf19b7a5984362c,1,1,1,0,273,194.241,273,5,0.443252,0,0,16,12,1982
tor_1,0068a37fe838071467f97420886c3e53e77ab3eb,1,2,3,0.144629,874,580.217,863,3,1.02593,0,0,128,2,875
tor_1,0069d14753e6050cc20ccd2009b3e04ab8426497,2,2,6,0.439721,98,77.0357,108,79,72.2104,477,0,20,16,2570.67
tor_1,006acf8b3f7095ba4e4ce38d3ea963a018bf91ef,1,1,1,0,5609,1467.69,2469,6,0.0295023,213,1,1,4,1315
tor_1,006b5762d3635c1d0650704f4a55d0860776ee18,1,1,1,0,597,248.493,84,3,0.420822,633,0,62,1,3223
tor_1,006b7ce5ff2a90a517e2842fcdd716ed60a90f14,1,3,4,0.230202,9916,2461.27,4690,14,-66.7067,184.75,1,57,2,2118.5
tor_1,006c26f54fc2a3c47350e9367ebb3eb340c866a1,1,2,7,0.102092,352,130.096,313,60,83.3582,541.857,0,541,192,2526.29
tor_1,006ce47ffa0dbc60dc0e3fc5d58e24943e291ef9,1,1,1,0,19785,4583.24,8822,89,0.0130903,2199,0,64,45,7212
tor_1,006e2e8620fa9001c8df24463c06538cf58ce396,1,2,3,0.229472,5370,1374.94,2335,8,115.136,97.6667,0,20,0,1205.33
tor_1,006e6d3b6f52e193b14dc17db4502e14f9ffeb82,1,3,7,0.375983,9704,2365.1,4560,4,94.9073,8,0,39,18,259
tor_1,0073c5b517c7e42188214fa5b8c7b61fac6ba248,0,0,0,0,9524,2402.04,0,0,0,0,0,0,0,0
tor_1,00775ab4ed3a056275e3169a3c144a27c53f16f7,0,0,0,0,5758,1511.91,0,0,0,0,0,0,0,0
tor_1,007a10886cbe9bd245c4c76fab7078af9da6df0f,1,1,1,0,285,141.215,110,2,8.4591,40,0,2,11,138
tor_1,007d3d2337edf436cd9860a0430324b6904067e9,0,0,0,0,15005,3859.47,0,0,0,0,0,0,0,0
tor_1,007d76543d79102009a339a45460b9aedc0465f8,1,1,1,0,3667,1557.81,1082,3,0.0904861,511,1,8,21,3038
tor_1,007eb3f8cbfbc696c301ef568a04a012fb847e10,1,1,1,0,11575,2753.59,1396,1,0.314491,1,1,1,0,5
tor_1,008194035fa8ab3712dead9152622de8509e8cf3,1,1,1,0,82,75.6016,82,32,0.01625,1099,1,30,3,5430
tor_1,0081d6c112154ea1e4c1c6ad62e22406f2594e62,0,0,0,0,19583,4482.66,0,0,0,0,0,0,0,0
tor_1,0087a37bed508d8240d4b51d1f2112bfae3f4d03,1,1,2,1,5821,1243,1253,9,13.0916,423,0,2,2,2336.5
tor_1,0087fe36c10554dca69697912fceb1a97601e1ca,0,0,0,0,13370,3409.17,0,0,0,0,0,0,0,0
tor_1,00885652db8146d992bcf96315a45e7820688145,1,1,2,0.110372,153,109.099,138,19,1.16996,965,0,117,8,2920
tor_1,0088fec1f178e41a0ffa65dc5839dbe15976ee05,1,1,1,0,1358,879.804,1346,5,2.49088,0,0,1,1,224
tor_1,008dc890d8d393f3a7be8ffae131632e46c5bc53,1,1,2,0.47756,5167,1563.13,2231,2,3.0241,2,1,10,4,420.5
tor_1,009205dabe4ba7aba43dffead4087ca94ef9a8e3,1,1,1,0,235,124.43,73,0,0,0,0,3,0,0
