project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
pig,933a2a11b19592c1fbfc9fe1bb36f16e7bdea5ae,2,1,3,0,24,21.6461,34,1,0.000000,0.333333,1,54,3,19.000000
pig,9a26c9b011d9e9af179d46b6e9a737fe63815751,2,2,2,0,25,22.6459,36,1,0.000000,0.500000,0,7,7,7.000000
pig,d7929756dcefa2d0ca8485041b03ab81367f12a4,2,24,118,0,14,12.1834,23,1,0.000000,0.008475,0,3987,3987,67.576271
pig,debcf490b7c75443e15ee04c0fe2fc81335f4595,2,3,15,0,26,23.3478,38,1,0.000000,0.066667,0,330,135,31.000000
pig,4689a16a4bed09533a7720383e3b13aebf3aeab4,2,1,1,0,27,24.3018,40,1,0.000000,1.000000,1,1,3,4.000000
pig,fd7b8828adc1737e81323c4bb735d5a53285cdfe,4,15,32,0,28,25.2919,50,1,0.000000,0.031250,0,353,327,21.250000
pig,ccfcc47c2c4d4953e09450b05212e32a9dc53b1e,1,1,1,0,29,26.2826,24,1,0.000000,1.000000,0,0,0,0.000000
pig,83d488447211146e0a41b05e4731e0edaa6142a5,2,12,23,0,30,27.166,45,1,0.000000,0.043478,0,152,257,17.782609
pig,9f4f5d2d9aada34cea69228156147865a8806133,4,11,14,0,31,28.1527,57,1,0.000000,0.071429,0,61,35,6.857143
pig,c63f745ee0a0931b816abd6458a626d040f24422,2,1,1,0,32,28.736,49,1,0.000000,1.000000,0,0,1,1.000000
pig,fb572fa2f4ee219ca5a72edb3b8b74427e7b3cb6,2,0,0,0,33,29.7155,28,1,0,0,1,0,0,0
pig,feceb6e5b451e0b9c76bbc2ad702830cadaddba5,2,1,1,0,15,12.7265,19,1,0.000000,1.000000,0,5,1,6.000000
pig,c7ea9f6991660ccade06ec375ccb5cd71b3d4300,2,1,0,0,16,13.7218,26,1,0,0,1,0,0,0
pig,f5eb02dd48e3772d6f97764c9940413b45ffeca3,2,4,5,0,17,14.6899,28,1,0.000000,0.200000,1,12,45,11.400000
pig,0366fdca03901d9a407fe842b38199379092fe34,4,2,15,0,34,30.5633,41,1,0.000000,0.066667,0,116,0,7.733333
pig,b007c63a619e8625dc10f82bf3fc70f90ede6cf9,3,7,35,0,35,31.563,46,1,0.000000,0.028571,1,1276,838,60.400000
pig,74b6df8d5ebd3975006c3204cc54b0bd2b9d34dc,2,0,0,0,18,15.5781,18,1,0,0,0,0,0,0
pig,ba5413316c2683c0054e57d477e537f5c8a5d2fe,3,2,2,0,36,32.3295,66,1,0.000000,0.500000,1,75,0,37.500000
pig,00037a719d5828e973b75afb751e6cf5cbad5e9f,1,0,0,0,37,33.3235,8,1,0,0,0,0,0,0
pig,3194ca1a339c1b3286556ee442cf9109bdaccb3c,1,1,3,0,38,34.3201,30,1,0.000000,0.333333,0,682,0,227.333333
pig,1f03de90c55ab5c92945da639c049bb087a2c011,2,0,0,0,19,16.5373,20,1,0,0,1,0,0,0
pig,3f4d0d0967c91fd85ef2256e8038bf1257623628,7,35,162,0,39,35.2287,86,1,0.000000,0.006173,0,10031,6339,101.049383
pig,858911a4e1781ad2e42c1172437140ebfd6746c3,2,0,0,0,20,17.4855,22,1,0,0,0,0,0,0
pig,ecd46eaf971a4356913fd817ae029e4149f00442,2,0,0,0,21,18.4845,24,1,0,0,0,0,0,0
pig,c0537568f44270da18462d216818ba097a2d4763,2,1,13,0,22,19.4835,27,1,0.000000,0.076923,0,57,54,8.538462
pig,992aae8da889bacf1d34d727f8b42b3030120b1b,4,4,5,0,40,36.0806,59,1,0.000000,0.200000,0,883,0,176.600000
pig,579d199f1069f3e59d62b797958fa99cae4f4fd1,2,5,7,0,41,36.9724,60,1,0.000000,0.142857,0,53,70,17.571429
