fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
d1874b433953f64b13a2feb0edc4bbff8940d503,907db008ab0007f0a02da62b68130344fc2e9353,0,1,1,1,11736,9063
3158777d35d8e03fdd77d9c227c2d04538d5fff3,1ab641a70e1f2cc2548abfd03e62e3f8b04825d2,0,1,0,0,268,20
3158777d35d8e03fdd77d9c227c2d04538d5fff3,579a80d4ae54ec03fd9b02c4a125b2943770c85d,1,0,1,1,496,92
e819d420c5b8e1d1b632c27d621de26f5f489663,35bbf2e4a4e8ccbc4126ebffda67c48989ec2f06,0,1,1,1,1786,1342
93ede051c2e11326203879f9ce42a50357e0b348,011ccbbf8d15f24849c9d7357f61142db8b9099e,0,0,0,0,21474,10
93ede051c2e11326203879f9ce42a50357e0b348,a782b83c2877b3beebf114d602f006fa6781da86,0,0,1,0,21529,29
93ede051c2e11326203879f9ce42a50357e0b348,22dba27d8dd55e3494775b9241e258e494caf5d3,0,1,0,1,20523,46
e3ebae48040b9ed3946e65dbc6a24e8f5e48ff6b,6a241ff3ffe7dc1f18c8a5d335a012aa20d763f7,0,1,1,1,1234,242
