project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor,005e228f80f0bd241d01c106f87e6bfe6dda6127,1,2,2,0.541048,451,292.052,427,10,1.33898,43,0,27,11,923
tor,0061d428900946ce8bf5c8bfb4c2b3b5faa4f691,0,0,0,0,7658,2059.03,0,0,0,0,0,0,0,0
tor,00633b944672458bdfd3d79bab4e1230cee4a522,1,1,1,0,7341,1989.34,4996,7,2.68196,422,0,61,32,1840
tor,0065066dbe8bc79a15f83eb8e3b4f7153001570f,1,2,3,0.0977963,106,73.5381,89,2,3.59276,25.6667,1,48,1,105
tor,006530f037d5fdd37301a6e4233ae83c8c86d76e,1,1,1,0,3996,1600.75,3184,4,12.8211,454,0,1,1,1965
tor,0068415b800ef78fb75466f5c36544db6686a76a,1,1,5,0.314679,734,466.963,598,5,5.55355,135.8,0,270,70,1215.6
tor,0069d14753e6050cc20ccd2009b3e04ab8426497,2,2,6,0.439721,98,77.0357,108,79,72.2104,477.333,0,20,16,2570.67
tor,006acf8b3f7095ba4e4ce38d3ea963a018bf91ef,1,1,1,0,5229,1372.9,3993,6,0.0295023,214,1,1,4,1315
tor,006b5762d3635c1d0650704f4a55d0860776ee18,1,1,1,0,504,204.729,142,3,0.420822,634,0,62,1,3223
tor,006b7ce5ff2a90a517e2842fcdd716ed60a90f14,1,3,4,0.230202,9463,2378.84,6207,14,-66.7067,185,1,57,2,2118.5
tor,006c26f54fc2a3c47350e9367ebb3eb340c866a1,1,2,7,0.102092,352,130.096,313,60,83.3582,542.286,0,541,192,2526.29
tor,006ce47ffa0dbc60dc0e3fc5d58e24943e291ef9,1,1,1,0,18336,4218.26,10331,89,0.0130903,2200,0,64,45,7212
tor,006e2e8620fa9001c8df24463c06538cf58ce396,1,2,3,0.229472,4990,1271.22,3859,8,115.136,98,0,20,0,1205.33
tor,006e6d3b6f52e193b14dc17db4502e14f9ffeb82,1,3,7,0.375983,9265,2293.43,6078,4,94.9073,8,0,39,18,259
tor,0071d67efda818cdbfe915f25279d99c85f9934e,1,1,1,0,3423,1556.21,2250,3,2.07697,240,0,11,19,2385
tor,0073c5b517c7e42188214fa5b8c7b61fac6ba248,0,0,0,0,9090,2331.31,0,0,0,0,0,0,0,0
tor,00775ab4ed3a056275e3169a3c144a27c53f16f7,0,0,0,0,5378,1421.63,0,0,0,0,0,0,0,0
tor,007d3d2337edf436cd9860a0430324b6904067e9,0,0,0,0,13915,3459.66,0,0,0,0,0,0,0,0
tor,007d76543d79102009a339a45460b9aedc0465f8,1,1,1,0,3486,1472.88,2747,3,0.0904861,511,1,8,21,3038
tor,007eb3f8cbfbc696c301ef568a04a012fb847e10,1,1,1,0,10995,2620.56,1365,1,0.314491,1,1,1,0,5
tor,008194035fa8ab3712dead9152622de8509e8cf3,1,1,1,0,82,75.6016,82,32,0.01625,1101,1,30,3,5430
tor,0081d6c112154ea1e4c1c6ad62e22406f2594e62,0,0,0,0,18143,4118.89,0,0,0,0,0,0,0,0
tor,0087a37bed508d8240d4b51d1f2112bfae3f4d03,1,1,2,1,5336,1132.56,3428,9,13.0916,424.5,0,2,2,2336.5
