fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
a2d882aba9095bcd210fd956216f764fa3637eee,4e9a6e44dd997febeccc12eb9c1cf0282321f1d8,0,0,0,0,21,33,Parrot,2.0,3.0,3.0,0.342095,625.0,525.414,506.0,3.0,0.0469329,49.3333,0.0,16.0,17.0,1423.67
a2d882aba9095bcd210fd956216f764fa3637eee,7853eb2984ad2583fa2d3203bde17d288b576bfc,0,0,0,0,521,262,Parrot,3.0,7.0,7.0,0.201134,283.0,257.104,273.0,2.0,6.43236,17.0,0.0,147.0,115.0,448.857
a2d882aba9095bcd210fd956216f764fa3637eee,a48344aeeb9561a1b621c984b2613f14df65b8f8,0,0,0,0,313,12,Parrot,1.0,1.0,1.0,0.0,394.0,308.759,272.0,2.0,0.849769,33.0,0.0,5.0,7.0,895.0
a2d882aba9095bcd210fd956216f764fa3637eee,a1b06b0477606c68b7615bc0b51095d8505e5b99,1,0,0,0,469,148,Parrot,1.0,2.0,2.0,0.459727,314.0,277.917,223.0,2.0,11.7995,5.5,0.0,55.0,93.0,782.5
a2d882aba9095bcd210fd956216f764fa3637eee,795c5716a3f007fe830ea3bd178c09a55548b0bb,0,0,0,0,575,177,Parrot,1.0,1.0,2.0,0.554579,251.0,234.868,180.0,1.0,0.02114,6.0,0.0,67.0,110.0,267.5
a2d882aba9095bcd210fd956216f764fa3637eee,f170d452b95283c33219db16ec8b33b4cf02902d,0,0,0,0,341,156,Parrot,2.0,2.0,4.0,0.277784,389.0,329.265,342.0,2.0,16.0571,13.75,0.0,107.0,49.0,322.25
a2d882aba9095bcd210fd956216f764fa3637eee,877f524a0ee648787cf27c275a1eda1d26493009,0,0,0,0,780,2,Parrot,1.0,1.0,1.0,0.0,68.0,66.485,49.0,1.0,0.00719907,8.0,0.0,1.0,1.0,63.0
a2d882aba9095bcd210fd956216f764fa3637eee,c221d94e1a0dfea27453ea6f3ea7dc3a5253ccfe,0,0,0,0,74,117,Parrot,1.0,2.0,3.0,0.162045,620.0,522.974,384.0,2.0,4.51636,35.6667,1.0,49.0,68.0,1353.67
a2d882aba9095bcd210fd956216f764fa3637eee,1a2fe3be0d80535dd0360c56d932bc70f27497d2,1,0,0,0,302,58,Parrot,2.0,3.0,4.0,0.564672,419.0,356.451,369.0,2.0,37.2053,18.5,0.0,26.0,32.0,561.5
a2d882aba9095bcd210fd956216f764fa3637eee,19ab911a6e876c5170e94594179bbac901dc5437,0,0,0,0,440,191,Parrot,2.0,5.0,9.0,0.2864,331.0,292.168,285.0,2.0,5.19382,10.2222,0.0,107.0,84.0,296.444
a2d882aba9095bcd210fd956216f764fa3637eee,ccbb4a01d34e36f0e92b4aeccd15d95155b2a2d5,0,0,0,0,135,88,Parrot,2.0,2.0,2.0,0.181188,562.0,470.961,158.0,2.0,8.13898,37.0,1.0,77.0,11.0,77.5
a2d882aba9095bcd210fd956216f764fa3637eee,92384fd17229afb61bef65245db90b1f43bc6852,0,0,0,0,1018,1785,Parrot,4.0,8.0,24.0,0.217275,105.0,101.781,125.0,1.0,3.79185,3.41667,0.0,953.0,832.0,252.083
a2d882aba9095bcd210fd956216f764fa3637eee,2df09169de5615ea8707dc8ec6c54e7d7fe5ca19,0,0,0,0,187,140,Parrot,2.0,2.0,3.0,0.0351995,520.0,434.362,155.0,2.0,0.495606,42.6667,0.0,57.0,83.0,1015.0
a2d882aba9095bcd210fd956216f764fa3637eee,e3bae179ec0a0b7c318c92f40df1baf562760d73,0,0,0,0,105,149,Parrot,1.0,2.0,2.0,0.952293,592.0,499.673,372.0,2.0,0.368756,39.0,1.0,77.0,72.0,642.0
a2d882aba9095bcd210fd956216f764fa3637eee,b604409aacdbfbd966fa60a9b3472bb013f2ca4a,0,0,0,0,119,6,Parrot,2.0,2.0,2.0,0.57938,578.0,486.454,169.0,2.0,0.042309,85.5,1.0,3.0,3.0,1479.0
a2d882aba9095bcd210fd956216f764fa3637eee,3320a62a7e9ffb58147b83ff491f7cf3f0e39238,1,0,0,0,88,33,Parrot,3.0,5.0,5.0,0.396136,609.0,515.224,570.0,2.0,0.0594931,27.2,0.0,28.0,5.0,1047.4
a2d882aba9095bcd210fd956216f764fa3637eee,e63abd225d92019c91b1bfda1c2f75de361a7df6,0,0,0,0,136,75,Parrot,3.0,4.0,5.0,0.302626,561.0,470.551,498.0,2.0,3.73601,24.2,0.0,64.0,11.0,493.6
a2d882aba9095bcd210fd956216f764fa3637eee,e9620d93049cf26b6fef7cf6dd504514057136ac,0,0,0,0,97,2,Parrot,1.0,1.0,1.0,0.0,600.0,506.525,376.0,1.0,0.0313889,1.0,0.0,1.0,1.0,410.0
a2d882aba9095bcd210fd956216f764fa3637eee,f1af316d78cb09fd707a3b8a6608fe96678a5ca7,0,0,0,0,365,2,Parrot,1.0,1.0,1.0,0.0,375.0,319.645,277.0,2.0,14.405,11.0,1.0,1.0,1.0,76.0
a2d882aba9095bcd210fd956216f764fa3637eee,c626cf69aa3bac81ade9a6b4ccbd4f9d83e19566,0,0,0,0,669,239,Parrot,2.0,3.0,4.0,0.112624,171.0,165.252,147.0,2.0,9.6843,15.0,0.0,68.0,171.0,275.25
a2d882aba9095bcd210fd956216f764fa3637eee,5d680a827f985b0ea4bf563a4c97de5d9a6ee233,0,0,0,0,452,43,Parrot,1.0,2.0,3.0,0.538297,323.0,285.846,231.0,2.0,0.621165,11.6667,0.0,28.0,15.0,215.333
a2d882aba9095bcd210fd956216f764fa3637eee,9f17ba3bae74288886dd9660cdc8ae922a9223fd,0,0,0,0,465,280,Parrot,1.0,1.0,1.0,0.0,318.0,281.479,227.0,1.0,0.0727431,8.0,0.0,34.0,246.0,939.0
a2d882aba9095bcd210fd956216f764fa3637eee,3da866a6a6fdcd52d9efbe3bdb87b8f7e4b7f3bc,0,0,0,0,877,343,Parrot,2.0,4.0,6.0,0.16059,246.0,228.682,204.0,1.0,1.95619,14.5,0.0,154.0,189.0,222.0
