fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
315645804133e190e23be954787f5d64144d33d5,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,0,0,9,260,203.0,57.0,312.167,1.0,3.0,6.0,0.33585,0.0,3.0,6.20407,3.83333,52.0,50.7941,52.0
315645804133e190e23be954787f5d64144d33d5,37cde3d864406f2af65dc03eae45a216ea969600,0,0,0,0,81,385,340.0,45.0,179.667,1.0,3.0,6.0,0.260203,0.0,3.0,2.05659,2.16667,30.0,29.5852,30.0
315645804133e190e23be954787f5d64144d33d5,007b75f78a1818a020523acb540c381e4d588f60,1,0,1,0,118,154,135.0,19.0,450.0,1.0,3.0,5.0,0.332496,0.0,1.0,5.97844,0.0,0.0,0.0,0.0
ea5e13893e320f640c2061ce8e09729d44ad23a9,fad7d58fc9ef8da03acc6f4d1a11a2844f4cd2ce,0,1,1,1,28,24,12.0,12.0,95.0,1.0,1.0,1.0,0.0,0.0,1.0,4.42453,1.0,24.0,23.238,3.0
3266818b42fbb035ea8d9b48c8a97da5f3e9d756,191c0dec32ee22ec833c2afc0107058f66982a0f,0,1,1,1,6,217,135.0,82.0,42.6667,1.0,2.0,3.0,0.365262,0.0,3.0,7.34708,1.33333,61.0,59.1651,61.0
a61f4df0b9b23250a5a59285aad82cf7d82a19b8,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,1,1,2,412,217.0,195.0,327.0,1.0,2.0,6.0,0.248436,0.0,3.0,8.87379,2.16667,64.0,61.6718,64.0
14102e8a4851119afe66866735d63d7901ab470f,11a7cb5b734a1c28cce399fc8a56dbe43c7ce371,1,0,1,0,134,43,43.0,0.0,566.5,1.0,2.0,2.0,0.417099,0.0,2.0,0.00277778,1.0,13.0,12.9994,13.0
14102e8a4851119afe66866735d63d7901ab470f,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,0,1,6,412,217.0,195.0,327.0,1.0,2.0,6.0,0.248436,0.0,3.0,8.87379,2.16667,64.0,61.6718,64.0
14102e8a4851119afe66866735d63d7901ab470f,aea8e16b4a32d179e70089edde6f1892968cf2b8,1,0,0,0,78,33,24.0,9.0,563.667,1.0,2.0,3.0,0.44329,0.0,3.0,2.61801,5.33333,37.0,36.2973,37.0
cf926338bf64da66ccf44e1ad8f0cbf8cf83a924,c19bf9cffe163dce8bc687e6276c533ea5199808,0,1,1,1,126,215,212.0,3.0,98.2,1.0,3.0,5.0,0.0635533,0.0,3.0,3.05831,1.2,11.0,10.7786,5.0
