fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
fdc6beed1a3aab063752a395a42432251b3443fe,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,1,1,1,4,305,279.0,26.0,239.4,1.0,4.0,10.0,0.349847,1.0,4.0,6.59316,1.9,15.0,14.6882,9.0
5b723348526464bd806d9d1d0d8e190b7a995f60,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,201,43123,,,,,,,,,,,,,,
34970fd7853a26e72179e5c97ea28143d00297bc,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,214,43123,,,,,,,,,,,,,,
792b69ba111f4b976fa298a902a1f049f127d954,c19bf9cffe163dce8bc687e6276c533ea5199808,0,1,1,1,43,215,212.0,3.0,98.2,1.0,3.0,5.0,0.0635533,0.0,3.0,3.05831,1.2,11.0,10.7786,5.0
279792f891cee4d2e5685bc6cb4dee6498a3c9b0,e1535fbd71d8c89c82cd9d9073c1ee97ee6a3b00,1,1,1,1,10,1014,667.0,347.0,216.818,1.0,5.0,11.0,0.280555,1.0,3.0,4.23117,0.909091,38.0,37.2972,38.0
6a41ede2d426cea1cb29103305362383f4d10f4d,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,247,43123,,,,,,,,,,,,,,
6a41ede2d426cea1cb29103305362383f4d10f4d,4bb966a7f08953083316ebacdefcd622c5bde99d,0,0,0,0,77,39,20.0,19.0,332.4,1.0,4.0,5.0,0.443261,1.0,2.0,2.73878,2.0,25.0,24.8074,25.0
6a41ede2d426cea1cb29103305362383f4d10f4d,007b75f78a1818a020523acb540c381e4d588f60,1,0,0,0,109,154,135.0,19.0,450.0,1.0,3.0,5.0,0.332496,0.0,1.0,5.97844,0.0,0.0,0.0,0.0
6a41ede2d426cea1cb29103305362383f4d10f4d,4b81de93d3733ecc5d4dcaab7efad2a5eef1937d,1,0,0,0,107,86,84.0,2.0,55.0,1.0,2.0,2.0,0.0450955,0.0,2.0,8.10185e-05,0.5,2.0,2.0,2.0
6a41ede2d426cea1cb29103305362383f4d10f4d,7e7579e1bafcbee07751562abc7ae64386978cff,0,0,0,0,73,29,17.0,12.0,261.667,1.0,3.0,3.0,0.30542,0.0,2.0,0.000405093,3.66667,29.0,28.8073,29.0
6a41ede2d426cea1cb29103305362383f4d10f4d,e1fe13d0cbb6063594a0b9dc712a8ee6006bb2e3,1,1,0,0,36,183,171.0,12.0,102.333,1.0,2.0,3.0,0.150809,0.0,2.0,3.84657,2.66667,41.0,40.2972,41.0
6a41ede2d426cea1cb29103305362383f4d10f4d,259392035daac9cf8d45d909a175e640c496f547,1,0,0,0,106,152,152.0,0.0,0.0,1.0,2.0,2.0,0.367438,0.0,0.0,0.0,0.0,3.0,3.0,3.0
